# SampleName                                   LogP_lo   LogP_hi   CosZ_lo   CosZ_hi
sk1-3_fc_multigev_1ring_nuebarlike                3.00      3.40      0.64      0.84
sk1-3_fc_multigev_1ring_nuebarlike                3.00      3.40      0.84      1.00
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70     -1.00     -0.84
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70     -0.84     -0.64
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70     -0.64     -0.45
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70     -0.45     -0.22
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70     -0.22      0.00
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70      0.00      0.22
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70      0.22      0.45
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70      0.45      0.64
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70      0.64      0.84
sk1-3_fc_multigev_1ring_nuebarlike                3.40      3.70      0.84      1.00
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00     -1.00     -0.84
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00     -0.84     -0.64
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00     -0.64     -0.45
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00     -0.45     -0.22
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00     -0.22      0.00
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00      0.00      0.22
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00      0.22      0.45
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00      0.45      0.64
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00      0.64      0.84
sk1-3_fc_multigev_1ring_nuebarlike                3.70      4.00      0.84      1.00
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00     -1.00     -0.84
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00     -0.84     -0.64
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00     -0.64     -0.45
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00     -0.45     -0.22
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00     -0.22      0.00
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00      0.00      0.22
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00      0.22      0.45
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00      0.45      0.64
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00      0.64      0.84
sk1-3_fc_multigev_1ring_nuebarlike                4.00      5.00      0.84      1.00
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40     -1.00     -0.84
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40     -0.84     -0.64
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40     -0.64     -0.45
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40     -0.45     -0.22
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40     -0.22      0.00
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40      0.00      0.22
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40      0.22      0.45
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40      0.45      0.64
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40      0.64      0.84
sk1-3_fc_multigev_1ring_mulike                    3.00      3.40      0.84      1.00
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00     -1.00     -0.84
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00     -0.84     -0.64
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00     -0.64     -0.45
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00     -0.45     -0.22
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00     -0.22      0.00
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00      0.00      0.22
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00      0.22      0.45
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00      0.45      0.64
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00      0.64      0.84
sk1-3_fc_multigev_1ring_mulike                    3.40      5.00      0.84      1.00
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40     -1.00     -0.84
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40     -0.84     -0.64
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40     -0.64     -0.45
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40     -0.45     -0.22
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40     -0.22      0.00
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40      0.00      0.22
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40      0.22      0.45
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40      0.45      0.64
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40      0.64      0.84
sk1-5_fc_multigev_multiring_nuelike               3.00      3.40      0.84      1.00
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70     -1.00     -0.84
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70     -0.84     -0.64
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70     -0.64     -0.45
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70     -0.45     -0.22
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70     -0.22      0.00
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70      0.00      0.22
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70      0.22      0.45
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70      0.45      0.64
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70      0.64      0.84
sk1-5_fc_multigev_multiring_nuelike               3.40      3.70      0.84      1.00
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00     -1.00     -0.84
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00     -0.84     -0.64
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00     -0.64     -0.45
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00     -0.45     -0.22
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00     -0.22      0.00
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00      0.00      0.22
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00      0.22      0.45
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00      0.45      0.64
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00      0.64      0.84
sk1-5_fc_multigev_multiring_nuelike               3.70      5.00      0.84      1.00
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40     -1.00     -0.84
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40     -0.84     -0.64
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40     -0.64     -0.45
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40     -0.45     -0.22
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40     -0.22      0.00
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40      0.00      0.22
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40      0.22      0.45
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40      0.45      0.64
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40      0.64      0.84
sk1-5_fc_multigev_multiring_nuebarlike            3.00      3.40      0.84      1.00
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70     -1.00     -0.84
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70     -0.84     -0.64
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70     -0.64     -0.45
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70     -0.45     -0.22
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70     -0.22      0.00
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70      0.00      0.22
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70      0.22      0.45
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70      0.45      0.64
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70      0.64      0.84
sk1-5_fc_multigev_multiring_nuebarlike            3.40      3.70      0.84      1.00
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00     -1.00     -0.84
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00     -0.84     -0.64
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00     -0.64     -0.45
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00     -0.45     -0.22
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00     -0.22      0.00
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00      0.00      0.22
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00      0.22      0.45
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00      0.45      0.64
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00      0.64      0.84
sk1-5_fc_multigev_multiring_nuebarlike            3.70      5.00      0.84      1.00
sk1-5_fc_multigev_multiring_mulike                2.00      3.12     -1.00     -0.84
sk1-5_fc_multigev_multiring_mulike                2.00      3.12     -0.84     -0.64
sk1-5_fc_multigev_multiring_mulike                2.00      3.12     -0.64     -0.45
sk1-5_fc_multigev_multiring_mulike                2.00      3.12     -0.45     -0.22
sk1-5_fc_multigev_multiring_mulike                2.00      3.12     -0.22      0.00
sk1-5_fc_multigev_multiring_mulike                2.00      3.12      0.00      0.22
